internalName,type,type
Biometal,Steel,
DiamondCore_Greater,Rock,
DiamondCore_Lesser,Rock,
DiamondCore,Rock,
DiamondCore_Super,Rock,
MegaGemCore,Rock,
GildedValkyrieWings,Electric,Flying
GuardHelmet,Electric,
GuardMail,Electric,
GuardLeggings,Electric,
SoldierMask,Electric,
SoldierBreastplate,Electric,
SoldierLeggings,Electric,
ImperialHood,Electric,
ImperialGarments,Electric,
ImperialGreaves,Electric,
RoyalCrown,Electric,
RoyalJacket,Electric,
RoyalGreaves,Electric,
EntropicHood,Dark,
EntropicLeggings,Dark,
EntropicRobe,Dark,
