internalName,type,type,tooltipOverride
AcidTrip,Poison,,
HardlightBraces,Electric,,
PowerTrip,Normal,,
ValkyrieCrown,Electric,,
AlphaSpectrum,Electric,,
DeckOfCards,Normal,,"{""Tooltips"": [{""Tooltip"":""Type varies on which card is used.""}]}"
War,Electric,,
RedAreusChainsaw,Electric,,
RedAreusDrill,Electric,,
RedAreusPickaxe,Electric,,
AreusGambit,Electric,,
AreusGauntlet,Electric,,
AreusScepter,Electric,,
AreusShrieker,Electric,Normal,
AreusStaff,Electric,,
AreusTrimmedTome,Electric,,
BloodScepter,Blood,,
Bytecrusher,Electric,,
Gunsword,Steel,,
PerishSong,Ghost,,
PlumeCodex,Electric,,
ScreamLantern,Normal,,
WormTench,Poison,,
AreusBaton,Electric,,
AreusDagger,Electric,,
AreusGlaive,Electric,,
AreusEdge,Electric,,
AreusKatana,Electric,,
AreusLance,Electric,,
AreusSawstring,Electric,,
AreusStrikeChain,Electric,,
AreusSword,Electric,,
BloodScythe,Blood,,
Cataracnia,Blood,,
CrossDagger,Blood,,
EntropySlicer,Dark,,
GenesisAndRagnarok,Ice,Electric,
Gomorrah,Steel,,
HeroSword,Fire,,
ReactorMeltdown,Poison,Electric,
Satanlance,Fire,,
TheMessiah,Fire,,
TheMourningStar,Blood,Dark,
ValkyrieBlade,Electric,,
ValkyrieStorm,Electric,,
ValkyrieStormLance,Electric,,
WormBloom,Poison,Grass,
Yamiko,Fire,Electric,
Zenova,Dark,,
Pandora,Ice,Electric,
Prometheus,Fire,Electric,
AreusAssaultRifle,Electric,,
AreusBow,Electric,,
AreusFlameCannon,Electric,Fire,
AreusFlamethrower,Electric,Fire,
AreusJavelin,Electric,,
AreusMagnum,Electric,,
AreusPistol,Electric,,
AreusRailgun,Electric,,
AreusRecursor,Electric,,
AreusRocketLauncher,Electric,,
BlackHoleRepeater,Dark,,
BloodJavelin,Blood,,
BloodStainedCrossbow,Blood,Steel,
Coilgun,Steel,,
DoubleBow,Fire,Electric,
DownBow,Electric,,
HandCanon,Fire,,
HardlightKnife,Electric,,
HeroGun,Fire,,
HuntingRifle,Normal,,
KingsKusarigama,Water,,
Magnus,Electric,,
MetalBlade,Steel,,
P90,Grass,,
Pantheon,Steel,,
PhantomRose,Dark,Grass,
Scarlet,Dark,Grass,
TheBall,Blood,,
AreusStriker,Electric,,
FlailOfFlesh,Blood,Fire,
BloodTome,Blood,,
BrokenAreusMirror,Electric,,
NestlingStaff,Electric,,
AreusCrate,Electric,,
DragonSpineWhip,Dark,Poison,
